"novalnetCreditCard","Credit/Debit Cards",en_US
"novalnetCreditCard","Kredit-/Debitkarte",de_DE
"novalnetSepa","Direct Debit SEPA",en_US
"novalnetSepa","SEPA-Lastschrift",de_DE
"novalnetInvoice","Invoice",en_US
"novalnetInvoice","Rechnung",de_DE
"novalnetPrepayment","Prepayment",en_US
"novalnetPrepayment","Vorkasse",de_DE
"novalnetIdeal","iDEAL",en_US
"novalnetIdeal","iDEAL",de_DE
"novalnetSofort","Sofort",en_US
"novalnetSofort","Sofortüberweisung",de_DE
"novalnetGiropay","giropay",en_US
"novalnetGiropay","giropay",de_DE
"novalnetBarzahlen","Barzahlen/viacash",en_US
"novalnetBarzahlen","Barzahlen/viacash",de_DE
"novalnetPrzelewy","Przelewy24",en_US
"novalnetPrzelewy","Przelewy24",de_DE
"novalnetEps","eps",en_US
"novalnetEps","eps",de_DE
"novalnetPaypal","PayPal",en_US
"novalnetPaypal","PayPal",de_DE
"novalnetPostfinanceCard","PostFinance Card",en_US
"novalnetPostfinanceCard","PostFinance Card",de_DE
"novalnetPostfinance","PostFinance E-Finance",en_US
"novalnetPostfinance","PostFinance E-Finance",de_DE
"novalnetBancontact","Bancontact",en_US
"novalnetBancontact","Bancontact",de_DE
"novalnetMultibanco","Multibanco",en_US
"novalnetMultibanco","Multibanco",de_DE
"novalnet.sepa-iban","IBAN",en_US
"novalnet.sepa-iban","IBAN",de_DE
"novalnet.sepa-payment-description","The amount will be debited from your account by Novalnet",en_US
"novalnet.sepa-payment-description","Der Betrag wird durch Novalnet von Ihrem Konto abgebucht",de_DE
"novalnet.credit-card-payment-description","The amount will be debited from your credit/debit card",en_US
"novalnet.credit-card-payment-description","Der Betrag wird Ihrer Kredit-/Debitkarte belastet",de_DE
"novalnet.invoice-payments-description","You will receive an e-mail with the Novalnet account details to complete the payment",en_US
"novalnet.invoice-payments-description","Sie erhalten eine E-Mail mit den Bankdaten von Novalnet, um die Zahlung abzuschließen",de_DE
"novalnet.sofort-payment-description","You will be redirected to Sofort. Please don’t close or refresh the browser until the payment is completed",en_US
"novalnet.sofort-payment-description","Sie werden zu Sofortüberweisung weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist.",de_DE
"novalnet.giropay-payment-description","You will be redirected to giropay. Please don’t close or refresh the browser until the payment is completed",en_US
"novalnet.giropay-payment-description","Sie werden zu giropay weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist.",de_DE
"novalnet.przelewy-payment-description","You will be redirected to Przelewy24. Please don’t close or refresh the browser until the payment is completed",en_US
"novalnet.przelewy-payment-description","Sie werden zu Przelewy24 weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist.",de_DE
"novalnet.eps-payment-description","You will be redirected to eps. Please don’t close or refresh the browser until the payment is completed",en_US
"novalnet.eps-payment-description","Sie werden zu eps weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist.",de_DE
"novalnet.paypal-payment-description","You will be redirected to PayPal. Please don’t close or refresh the browser until the payment is completed",en_US
"novalnet.paypal-payment-description","Sie werden zu PayPal weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist.",de_DE
"novalnet.postfinance-payment-description","You will be redirected to PostFinance. Please don’t close or refresh the browser until the payment is completed",en_US
"novalnet.postfinance-payment-description","Sie werden zu PostFinance weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist.",de_DE
